type,description,risk,recommendations
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fever,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fever,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
